codigoExterno,endereco,numero,complemento,bairro,cidade,uf,cep,tipoImovel,metragem,status
3292,0045,360,1º ETAPA,PREFEITURA JOSE WALTER,FORTALEZA,CE,60750590,CASA,,Ativo
2865,02 (CONJ. ARVOREDO),142,CASA B,MONDUBIM,FORTALEZA,CE,60752320,,,Ativo
2872,03H,97,CASA 26 BL A COND VILLAGE MONTE PRINCE 1,PREFEITURA JOSE WALTAR,FORTALEZA,CE,60749050,CASA,,Ativo
2791,09,92,AP 922 BL B                                                     ,TABAPUA                                                         ,CAUCAIA                                                         ,CE,61600000,APARTAMENTO                   ,,Ativo
3710,ABEL GARCIA,865,,VILA UNIÃO,FORTALEZA,CE,60410760,CASA ,,Ativo
3787,ABOLICAO,3340,AP 305 ED SAINT MARTIN FLAT,MEIRELES,FORTALEZA,CE,60165081,,,Ativo
4145,ADOLFO SIQUEIRA,22,,JOAQUIM TAVORA,FORTALEZA,CE,60135140,CASA,,Ativo
3306,AGUANAMBI,1505,AP 301 ED EXUPERY,FATIMA,FORTALEZA,CE,60055401,APARTAMENTO,,Ativo
3883,ÁGUA VIVA,445,AP 302 BL 2 ED PALM BEACH,PORTO DAD DUNAS ,FORTALEZA,CE,61700000,APARTAMENTO,,Ativo
3292,0045,360,1º ETAPA,PREFEITURA JOSE WALTER,FORTALEZA,CE,60750590,CASA,,Ativo
2865,02 (CONJ. ARVOREDO),142,CASA B,MONDUBIM,FORTALEZA,CE,60752320,,,Ativo
2872,03H,97,CASA 26 BL A COND VILLAGE MONTE PRINCE 1,PREFEITURA JOSE WALTAR,FORTALEZA,CE,60749050,CASA,,Ativo
2791,09,92,AP 922 BL B                                                     ,TABAPUA                                                         ,CAUCAIA                                                         ,CE,61600000,APARTAMENTO                   ,,Ativo
3710,ABEL GARCIA,865,,VILA UNIÃO,FORTALEZA,CE,60410760,CASA ,,Ativo
3787,ABOLICAO,3340,AP 305 ED SAINT MARTIN FLAT,MEIRELES,FORTALEZA,CE,60165081,,,Ativo
4145,ADOLFO SIQUEIRA,22,,JOAQUIM TAVORA,FORTALEZA,CE,60135140,CASA,,Ativo
3306,AGUANAMBI,1505,AP 301 ED EXUPERY,FATIMA,FORTALEZA,CE,60055401,APARTAMENTO,,Ativo
3883,ÁGUA VIVA,445,AP 302 BL 2 ED PALM BEACH,PORTO DAD DUNAS ,FORTALEZA,CE,61700000,APARTAMENTO,,Ativo
4480,ALAMEDA DAS BENEDITAS,277,QUADRA 28,CIDADE 2000,FORTALEZA,CE,60190160,CASA,60,Ativo
3929,ALAMEDA DAS CHANANAS,169 A,QUADRA 34,CIDADE 2000,FORTALEZA,CE,60190300,CASA,,Ativo
