uf,tipoImovel,complemento,endereco,codigoMobile,cep,bairro,metragem,numero,codigoExterno,id,DATA_REGARGA,cidade,ativo
CE,CASA,1º ETAPA,0045,,60750590,PREFEITURA JOSE WALTER,,360,3292,613618,2025-09-23 11:14:03,FORTALEZA,True
CE,,CASA B,02 (CONJ. ARVOREDO),,60752320,MONDUBIM,,142,2865,505231,2025-09-23 11:14:03,FORTALEZA,True
CE,CASA,CASA 26 BL A COND VILLAGE MONTE PRINCE 1,03H,,60749050,PREFEITURA JOSE WALTAR,,97,2872,506692,2025-09-23 11:14:03,FORTALEZA,True
CE,APARTAMENTO                   ,AP 922 BL B                                                     ,09,,61600000,TABAPUA                                                         ,,92,2791,200767,2025-09-23 11:14:03,CAUCAIA                                                         ,True
CE,CASA ,,ABEL GARCIA,,60410760,VILA UNIÃO,,865,3710,1009903,2025-09-23 11:14:03,FORTALEZA,True
CE,,AP 305 ED SAINT MARTIN FLAT,ABOLICAO,,60165081,MEIRELES,,3340,3787,995645,2025-09-23 11:14:03,FORTALEZA,True
CE,CASA,,ADOLFO SIQUEIRA,,60135140,JOAQUIM TAVORA,,22,4145,1108440,2025-09-23 11:14:03,FORTALEZA,True
CE,APARTAMENTO,AP 301 ED EXUPERY,AGUANAMBI,,60055401,FATIMA,,1505,3306,617668,2025-09-23 11:14:03,FORTALEZA,True
CE,APARTAMENTO,AP 302 BL 2 ED PALM BEACH,ÁGUA VIVA,,61700000,PORTO DAD DUNAS ,,445,3883,990257,2025-09-23 11:14:03,FORTALEZA,True
CE,CASA,QUADRA 28,ALAMEDA DAS BENEDITAS,,60190160,CIDADE 2000,60,277,4480,1338822,2025-09-23 11:14:07,FORTALEZA,True
CE,CASA,QUADRA 34,ALAMEDA DAS CHANANAS,,60190300,CIDADE 2000,,169 A,3929,989323,2025-09-23 11:14:07,FORTALEZA,True
CE,CASA,QUADRA 34,ALAMEDA DAS CHANANAS ,,60190300,CIDADE 2000,,169 B,3930,989061,2025-09-23 11:14:07,FORTALEZA ,True
CE,QUITINET,,ALAMEDA ELIANE LUCIA,,60190150,CID 2000,,126,3458,684019,2025-09-23 11:14:07,FORTALEZA,True
CE,APARTAMENTO,AP 105 BL 6 RESERVA JARDIM COND CLUBE,ALBERTO CRAVEIRO,,60860000,DIAS MACEDO,,1240,2849,224180,2025-09-23 11:14:07,FORTALEZA ,True
CE,APARTAMENTO,AP406 BL13 RESERVA JARDIM (VIA MARGINAL R MARTINHO 51),ALBERTO CRAVEIRO,,60860000,DIAS MACADO,,1240,3198,573212,2025-09-23 11:14:07,FORTALEZA,True
CE,Ponto COMECIAL,,ALBERTO MAGNO,,60435020,MONTESE ,,146,3673,820323,2025-09-23 11:14:07,FORTALEZA,True
CE,CASA ,B,ALBERTO MAGNO ,,60425235,MONTESE,,665,3857,1015689,2025-09-23 11:14:07,FORTALEZA,True
CE,APARTAMENTO,AP 202 ED GRACY,ALBERT SABIN,,60810060,COCO,,111,3047,527701,2025-09-23 11:14:07,FORTALEZA,True
CE,CASA,TERREO -  QUADRA 30 BAIRRO CIDADE 2000,AL DAS BONINAS,,60190200,PAPICU,,48,3089,550921,2025-09-23 11:14:07,FORTALEZA,True
CE,RESIDENCIAL,B QUADRA 34,AL DAS CECILIAS,,60190240,CIDADE 2000,0,172,3932,955323,2025-09-23 11:14:09,FORTALEZA,True
CE,APARTAMENTO,AP I,AL DAS EXTREMOSAS,,60190420,CIDADE 2000,,78,4014,1020147,2025-09-23 11:14:09,FORTALEZA,True
CE,APARTAMENTO,AP L,AL DAS EXTREMOSAS,,60190420,CIDADE 2000,,78,4019,1036083,2025-09-23 11:14:09,FORTALEZA,True
CE,,AP E,AL DAS EXTREMOSAS,,60190420,CIDADE 2000,,78,4018,1045111,2025-09-23 11:14:09,FORTALEZA,True
CE,CASA,,AL DAS VERBENAS,,60190330,CIDADE 2000,60,280,4287,1206239,2025-09-23 11:14:09,FORTALEZA,True
CE,CASA                          ,QD 12,AL DAS VIOLETAS,,60190310,CIDADE 2000                                                     ,,46,1504,142628,2025-09-23 11:14:09,FORTALEZA                                                       ,True
